Region,Performance,Redundancy,PricePerGB
eastus,Premium SSD,LRS,0.132001953125
eastus,Premium SSD,ZRS,0.197978515625
eastus,Ultra Disk,LRS,0.11972000000000001
eastus,Ultra Disk,ZRS,na
eastus2,Standard HDD,LRS,0.04
eastus2,Standard HDD,ZRS,na
eastus2,Standard SSD,LRS,0.075
eastus2,Standard SSD,ZRS,0.1125
eastus2,Premium SSD,LRS,0.12
eastus2,Premium SSD,ZRS,0.18
eastus2,Ultra Disk,LRS,0.11972000000000001
eastus2,Ultra Disk,ZRS,na
francecentral,Standard HDD,LRS,0.044
francecentral,Standard HDD,ZRS,na
francecentral,Standard SSD,LRS,0.0825
francecentral,Standard SSD,ZRS,0.12375
francecentral,Premium SSD,LRS,0.15971484375
francecentral,Premium SSD,ZRS,0.239541015625
francecentral,Ultra Disk,LRS,0.14965
francecentral,Ultra Disk,ZRS,na
francesouth,Standard HDD,LRS,0.0572
francesouth,Standard HDD,ZRS,na
francesouth,Standard SSD,LRS,0.10725
francesouth,Standard SSD,ZRS,na
francesouth,Premium SSD,LRS,0.207629296875
francesouth,Premium SSD,ZRS,na
francesouth,Ultra Disk,LRS,na
francesouth,Ultra Disk,ZRS,na
germanynorth,Standard HDD,LRS,0.052
germanynorth,Standard HDD,ZRS,na
germanynorth,Standard SSD,LRS,0.0975
germanynorth,Standard SSD,ZRS,na
germanynorth,Premium SSD,LRS,0.18875
germanynorth,Premium SSD,ZRS,na
germanynorth,Ultra Disk,LRS,0.20221
germanynorth,Ultra Disk,ZRS,na
germanywestcentral,Standard HDD,LRS,0.04
germanywestcentral,Standard HDD,ZRS,na
germanywestcentral,Standard SSD,LRS,0.075
germanywestcentral,Standard SSD,ZRS,0.1125
germanywestcentral,Premium SSD,LRS,0.1451953125
germanywestcentral,Premium SSD,ZRS,0.21779296875
germanywestcentral,Ultra Disk,LRS,0.15549
germanywestcentral,Ultra Disk,ZRS,na
indiasouthcentral,Standard HDD,LRS,0.044
indiasouthcentral,Standard HDD,ZRS,na
indiasouthcentral,Standard SSD,LRS,0.0825
indiasouthcentral,Standard SSD,ZRS,0.12375
indiasouthcentral,Premium SSD,LRS,0.132001953125
indiasouthcentral,Premium SSD,ZRS,0.1980029296875
indiasouthcentral,Ultra Disk,LRS,na
indiasouthcentral,Ultra Disk,ZRS,na
indonesiacentral,Standard HDD,LRS,0.04
indonesiacentral,Standard HDD,ZRS,na
indonesiacentral,Standard SSD,LRS,0.075
indonesiacentral,Standard SSD,ZRS,0.1125
indonesiacentral,Premium SSD,LRS,0.131982421875
indonesiacentral,Premium SSD,ZRS,0.1980029296875
indonesiacentral,Ultra Disk,LRS,0.14016
indonesiacentral,Ultra Disk,ZRS,na
israelcentral,Standard HDD,LRS,0.048
israelcentral,Standard HDD,ZRS,na
israelcentral,Standard SSD,LRS,0.09
israelcentral,Standard SSD,ZRS,0.135
israelcentral,Premium SSD,LRS,0.144
israelcentral,Premium SSD,ZRS,0.216
israelcentral,Ultra Disk,LRS,na
israelcentral,Ultra Disk,ZRS,na
italynorth,Standard HDD,LRS,0.04
italynorth,Standard HDD,ZRS,na
italynorth,Standard SSD,LRS,0.075
italynorth,Standard SSD,ZRS,0.1125
italynorth,Premium SSD,LRS,0.1451953125
italynorth,Premium SSD,ZRS,0.217763671875
italynorth,Ultra Disk,LRS,0.15549
italynorth,Ultra Disk,ZRS,na
japaneast,Standard HDD,LRS,0.04
japaneast,Standard HDD,ZRS,na
japaneast,Standard SSD,LRS,0.075
japaneast,Standard SSD,ZRS,0.1125
japaneast,Premium SSD,LRS,0.151796875
japaneast,Premium SSD,ZRS,0.2276953125
japaneast,Ultra Disk,LRS,0.17374
japaneast,Ultra Disk,ZRS,na
japanwest,Standard HDD,LRS,0.04
japanwest,Standard HDD,ZRS,na
japanwest,Standard SSD,LRS,0.075
japanwest,Standard SSD,ZRS,0.11625
japanwest,Premium SSD,LRS,0.132001953125
japanwest,Premium SSD,ZRS,0.204580078125
japanwest,Ultra Disk,LRS,0.18542
japanwest,Ultra Disk,ZRS,na
koreacentral,Standard HDD,LRS,0.04
koreacentral,Standard HDD,ZRS,na
koreacentral,Standard SSD,LRS,0.075
koreacentral,Standard SSD,ZRS,0.1125
koreacentral,Premium SSD,LRS,0.132001953125
koreacentral,Premium SSD,ZRS,0.1980029296875
koreacentral,Ultra Disk,LRS,0.16133
koreacentral,Ultra Disk,ZRS,na
koreasouth,Standard HDD,LRS,0.04
koreasouth,Standard HDD,ZRS,na
koreasouth,Standard SSD,LRS,0.075
koreasouth,Standard SSD,ZRS,na
koreasouth,Premium SSD,LRS,0.132001953125
koreasouth,Premium SSD,ZRS,na
koreasouth,Ultra Disk,LRS,0.13797
koreasouth,Ultra Disk,ZRS,na
malaysiawest,Standard HDD,LRS,0.04
malaysiawest,Standard HDD,ZRS,na
malaysiawest,Standard SSD,LRS,0.075
malaysiawest,Standard SSD,ZRS,0.1125
malaysiawest,Premium SSD,LRS,0.132001953125
malaysiawest,Premium SSD,ZRS,0.1980029296875
malaysiawest,Ultra Disk,LRS,0.14016
malaysiawest,Ultra Disk,ZRS,na
mexicocentral,Standard HDD,LRS,0.044
mexicocentral,Standard HDD,ZRS,na
mexicocentral,Standard SSD,LRS,0.0825
mexicocentral,Standard SSD,ZRS,0.12375
mexicocentral,Premium SSD,LRS,0.145185296875
mexicocentral,Premium SSD,ZRS,0.2177779453125
mexicocentral,Ultra Disk,LRS,na
mexicocentral,Ultra Disk,ZRS,na
newzealandnorth,Standard HDD,LRS,0.0672
newzealandnorth,Standard HDD,ZRS,na
newzealandnorth,Standard SSD,LRS,0.1071
newzealandnorth,Standard SSD,ZRS,0.16065
newzealandnorth,Premium SSD,LRS,0.132001953125
newzealandnorth,Premium SSD,ZRS,0.207903076171875
newzealandnorth,Ultra Disk,LRS,0.1825
newzealandnorth,Ultra Disk,ZRS,na
northcentralus,Standard HDD,LRS,0.04
northcentralus,Standard HDD,ZRS,na
northcentralus,Standard SSD,LRS,0.075
northcentralus,Standard SSD,ZRS,na
northcentralus,Premium SSD,LRS,0.132001953125
northcentralus,Premium SSD,ZRS,na
northcentralus,Ultra Disk,LRS,0.14381
northcentralus,Ultra Disk,ZRS,na
northeurope,Standard HDD,LRS,0.04
northeurope,Standard HDD,ZRS,na
northeurope,Standard SSD,LRS,0.075
northeurope,Standard SSD,ZRS,0.1125
northeurope,Premium SSD,LRS,0.132001953125
northeurope,Premium SSD,ZRS,0.197978515625
northeurope,Ultra Disk,LRS,0.14307999999999998
northeurope,Ultra Disk,ZRS,na
norwayeast,Standard HDD,LRS,0.044
norwayeast,Standard HDD,ZRS,na
norwayeast,Standard SSD,LRS,0.0825
norwayeast,Standard SSD,ZRS,0.12375
norwayeast,Premium SSD,LRS,0.159716796875
norwayeast,Premium SSD,ZRS,0.2395751953125
norwayeast,Ultra Disk,LRS,na
norwayeast,Ultra Disk,ZRS,na
norwaywest,Standard HDD,LRS,0.0572001953125
norwaywest,Standard HDD,ZRS,na
norwaywest,Standard SSD,LRS,0.10724609375
norwaywest,Standard SSD,ZRS,na
norwaywest,Premium SSD,LRS,0.207626953125
norwaywest,Premium SSD,ZRS,na
norwaywest,Ultra Disk,LRS,0.22265
norwaywest,Ultra Disk,ZRS,na
polandcentral,Standard HDD,LRS,0.04
polandcentral,Standard HDD,ZRS,na
polandcentral,Standard SSD,LRS,0.075
polandcentral,Standard SSD,ZRS,0.1125
polandcentral,Premium SSD,LRS,0.1451953125
polandcentral,Premium SSD,ZRS,0.21779296875
polandcentral,Ultra Disk,LRS,0.15549
polandcentral,Ultra Disk,ZRS,na
qatarcentral,Standard HDD,LRS,0.048
qatarcentral,Standard HDD,ZRS,na
qatarcentral,Standard SSD,LRS,0.09
qatarcentral,Standard SSD,ZRS,0.135
qatarcentral,Premium SSD,LRS,0.144
qatarcentral,Premium SSD,ZRS,0.216
qatarcentral,Ultra Disk,LRS,0.17082
qatarcentral,Ultra Disk,ZRS,na
southafricanorth,Standard HDD,LRS,0.053599609375
southafricanorth,Standard HDD,ZRS,na
southafricanorth,Standard SSD,LRS,0.109501953125
southafricanorth,Standard SSD,ZRS,0.1642529296875
southafricanorth,Premium SSD,LRS,0.16080078125
southafricanorth,Premium SSD,ZRS,0.241201171875
southafricanorth,Ultra Disk,LRS,0.16133
southafricanorth,Ultra Disk,ZRS,na
southafricawest,Standard HDD,LRS,0.0672001953125
southafricawest,Standard HDD,ZRS,na
southafricawest,Standard SSD,LRS,0.12599609375
southafricawest,Standard SSD,ZRS,na
southafricawest,Premium SSD,LRS,0.2016015625
southafricawest,Premium SSD,ZRS,na
southafricawest,Ultra Disk,LRS,0.21753999999999998
southafricawest,Ultra Disk,ZRS,na
southcentralus,Standard HDD,LRS,0.04
southcentralus,Standard HDD,ZRS,na
southcentralus,Standard SSD,LRS,0.075
southcentralus,Standard SSD,ZRS,0.1125
southcentralus,Premium SSD,LRS,0.12
southcentralus,Premium SSD,ZRS,0.18
southcentralus,Ultra Disk,LRS,0.14307999999999998
southcentralus,Ultra Disk,ZRS,na
southeastasia,Standard HDD,LRS,0.04
southeastasia,Standard HDD,ZRS,na
southeastasia,Standard SSD,LRS,0.075
southeastasia,Standard SSD,ZRS,0.1125
southeastasia,Premium SSD,LRS,0.132001953125
southeastasia,Premium SSD,ZRS,0.1980029296875
southeastasia,Ultra Disk,LRS,0.15549
southeastasia,Ultra Disk,ZRS,na
southindia,Standard HDD,LRS,0.04
southindia,Standard HDD,ZRS,na
southindia,Standard SSD,LRS,0.075
southindia,Standard SSD,ZRS,na
southindia,Premium SSD,LRS,0.1188017578125
southindia,Premium SSD,ZRS,na
southindia,Ultra Disk,LRS,0.18104
southindia,Ultra Disk,ZRS,na
spaincentral,Standard HDD,LRS,0.04
spaincentral,Standard HDD,ZRS,na
spaincentral,Standard SSD,LRS,0.075
spaincentral,Standard SSD,ZRS,0.1125
spaincentral,Premium SSD,LRS,0.145178466796875
spaincentral,Premium SSD,ZRS,0.2177677001953125
spaincentral,Ultra Disk,LRS,0.15549
spaincentral,Ultra Disk,ZRS,na
swedencentral,Standard HDD,LRS,0.04
swedencentral,Standard HDD,ZRS,na
swedencentral,Standard SSD,LRS,0.075
swedencentral,Standard SSD,ZRS,0.1125
swedencentral,Premium SSD,LRS,0.1451953125
swedencentral,Premium SSD,ZRS,0.21779296875
swedencentral,Ultra Disk,LRS,0.12556
swedencentral,Ultra Disk,ZRS,na
switzerlandnorth,Standard HDD,LRS,0.044
switzerlandnorth,Standard HDD,ZRS,na
switzerlandnorth,Standard SSD,LRS,0.09
switzerlandnorth,Standard SSD,ZRS,0.135
switzerlandnorth,Premium SSD,LRS,0.15971484375
switzerlandnorth,Premium SSD,ZRS,0.239572265625
switzerlandnorth,Ultra Disk,LRS,0.17155
switzerlandnorth,Ultra Disk,ZRS,na
switzerlandwest,Standard HDD,LRS,0.0572003583984375
switzerlandwest,Standard HDD,ZRS,na
switzerlandwest,Standard SSD,LRS,0.1072517900390625
switzerlandwest,Standard SSD,ZRS,na
switzerlandwest,Premium SSD,LRS,0.20762392578125
switzerlandwest,Premium SSD,ZRS,na
switzerlandwest,Ultra Disk,LRS,0.22265
switzerlandwest,Ultra Disk,ZRS,na
uaecentral,Standard HDD,LRS,0.052
uaecentral,Standard HDD,ZRS,na
uaecentral,Standard SSD,LRS,0.0975
uaecentral,Standard SSD,ZRS,na
uaecentral,Premium SSD,LRS,0.1872
uaecentral,Premium SSD,ZRS,na
uaecentral,Ultra Disk,LRS,0.22265
uaecentral,Ultra Disk,ZRS,na
uaenorth,Standard HDD,LRS,0.048
uaenorth,Standard HDD,ZRS,na
uaenorth,Standard SSD,LRS,0.09
uaenorth,Standard SSD,ZRS,0.135
uaenorth,Premium SSD,LRS,0.144
uaenorth,Premium SSD,ZRS,0.216
uaenorth,Ultra Disk,LRS,0.14892
uaenorth,Ultra Disk,ZRS,na
uksouth,Standard HDD,LRS,0.044
uksouth,Standard HDD,ZRS,na
uksouth,Standard SSD,LRS,0.0825
uksouth,Standard SSD,ZRS,0.12375
