region,displayName,isoCountryCode,regionCategory,instance,available,restriction_type,restriction_reason,sku_capacity,linux_price_hourly,spot_price_hourly,spot_discount_pct,currencyCode,unitOfMeasure
australiasoutheast,Australia Southeast,AU,Recommended,Standard_D4_v2,unknown,,,,0.623,0.125,79.9,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_D4s_v3,unknown,,,,0.25,0.0462,81.5,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_D4s_v4,unknown,,,,0.25,0.0462,81.5,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_D4s_v5,unknown,,,,0.25,0.0462,81.5,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_D4s_v6,unknown,,,,0.262,0.048418,81.5,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_DS4_v2,unknown,,,,0.623,0.126843,79.6,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_E2_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_E2s_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_E2s_v4,unknown,,,,0.164,0.030307,81.5,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_E2s_v5,unknown,,,,0.164,0.030307,81.5,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_E2s_v6,unknown,,,,0.172,0.031786,81.5,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_F4,unknown,,,,0.26,0.052,80.0,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_F4s,unknown,,,,0.26,0.052936,79.6,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_F4s_v2,unknown,,,,0.223,0.034,84.8,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_FX4mds,unknown,,,,,,,,
austriaeast,Austria East,AT,Recommended,Standard_B4ms,unknown,,,,0.192,,,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_D4,unknown,,,,,,,,
austriaeast,Austria East,AT,Recommended,Standard_D4_v2,unknown,,,,,,,,
austriaeast,Austria East,AT,Recommended,Standard_D4s_v3,unknown,,,,,,,,
austriaeast,Austria East,AT,Recommended,Standard_D4s_v4,unknown,,,,0.23,0.042504,81.5,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_D4s_v5,unknown,,,,0.23,0.042504,81.5,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_D4s_v6,unknown,,,,0.242,0.044722,81.5,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_DS4_v2,unknown,,,,,,,,
austriaeast,Austria East,AT,Recommended,Standard_E2_v3,unknown,,,,,,,,
austriaeast,Austria East,AT,Recommended,Standard_E2s_v3,unknown,,,,,,,,
austriaeast,Austria East,AT,Recommended,Standard_E2s_v4,unknown,,,,0.152,0.02809,81.5,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_E2s_v5,unknown,,,,0.152,0.02809,81.5,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_E2s_v6,unknown,,,,0.16,0.029568,81.5,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_F4,unknown,,,,0.227,0.0454,80.0,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_F4s,unknown,,,,0.227,0.04624,79.6,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_F4s_v2,unknown,,,,0.194,0.035851,81.5,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_FX4mds,unknown,,,,,,,,
belgiumcentral,Belgium Central,BE,Recommended,Standard_B4ms,unknown,,,,0.192,,,USD,1 Hour
belgiumcentral,Belgium Central,BE,Recommended,Standard_D4,unknown,,,,,,,,
belgiumcentral,Belgium Central,BE,Recommended,Standard_D4_v2,unknown,,,,,,,,
belgiumcentral,Belgium Central,BE,Recommended,Standard_D4s_v3,unknown,,,,,,,,
belgiumcentral,Belgium Central,BE,Recommended,Standard_D4s_v4,unknown,,,,0.23,0.042504,81.5,USD,1 Hour
belgiumcentral,Belgium Central,BE,Recommended,Standard_D4s_v5,unknown,,,,0.23,0.042504,81.5,USD,1 Hour
belgiumcentral,Belgium Central,BE,Recommended,Standard_D4s_v6,unknown,,,,0.242,0.044722,81.5,USD,1 Hour
belgiumcentral,Belgium Central,BE,Recommended,Standard_DS4_v2,unknown,,,,,,,,
belgiumcentral,Belgium Central,BE,Recommended,Standard_E2_v3,unknown,,,,,,,,
belgiumcentral,Belgium Central,BE,Recommended,Standard_E2s_v3,unknown,,,,,,,,
belgiumcentral,Belgium Central,BE,Recommended,Standard_E2s_v4,unknown,,,,0.152,0.02809,81.5,USD,1 Hour
belgiumcentral,Belgium Central,BE,Recommended,Standard_E2s_v5,unknown,,,,0.152,0.02809,81.5,USD,1 Hour
belgiumcentral,Belgium Central,BE,Recommended,Standard_E2s_v6,unknown,,,,0.16,0.029568,81.5,USD,1 Hour
belgiumcentral,Belgium Central,BE,Recommended,Standard_F4,unknown,,,,0.228,0.0456,80.0,USD,1 Hour
