region,displayName,isoCountryCode,regionCategory,instance,available,restriction_type,restriction_reason,sku_capacity,linux_price_hourly,spot_price_hourly,spot_discount_pct,currencyCode,unitOfMeasure,effectiveStartDate,latitude,longitude
southindia,South India,IN,Recommended,Standard_E2s_v3,unknown,,,,0.167,0.030862,81.5,USD,1 Hour,2017-03-01T00:00:00Z,13.08,80.27
southindia,South India,IN,Recommended,Standard_F4s_v2,unknown,,,,0.187,0.034,81.8,USD,1 Hour,2025-10-01T00:00:00Z,13.08,80.27
spaincentral,Spain Central,ES,Recommended,Standard_B4ms,unknown,,,,0.183,,,USD,1 Hour,2025-10-01T00:00:00Z,40.42,-3.7
spaincentral,Spain Central,ES,Recommended,Standard_D4s_v3,unknown,,,,0.214,0.039547,81.5,USD,1 Hour,2024-02-01T00:00:00Z,40.42,-3.7
spaincentral,Spain Central,ES,Recommended,Standard_E2s_v3,unknown,,,,0.141,0.026057,81.5,USD,1 Hour,2024-02-01T00:00:00Z,40.42,-3.7
spaincentral,Spain Central,ES,Recommended,Standard_F4s_v2,unknown,,,,0.192,0.035482,81.5,USD,1 Hour,2025-10-01T00:00:00Z,40.42,-3.7
swedencentral,Sweden Central,SE,Recommended,Standard_B4ms,unknown,,,,0.173,,,USD,1 Hour,2025-10-01T00:00:00Z,60.67,17.14
swedencentral,Sweden Central,SE,Recommended,Standard_D4s_v3,unknown,,,,0.204,0.037658,81.5,USD,1 Hour,2021-06-08T00:00:00Z,60.67,17.14
swedencentral,Sweden Central,SE,Recommended,Standard_E2s_v3,unknown,,,,0.134,0.024736,81.5,USD,1 Hour,2021-06-08T00:00:00Z,60.67,17.14
swedencentral,Sweden Central,SE,Recommended,Standard_F4s_v2,unknown,,,,0.194,0.035851,81.5,USD,1 Hour,2025-10-01T00:00:00Z,60.67,17.14
switzerlandnorth,Switzerland North,CH,Recommended,Standard_B4ms,unknown,,,,0.2112,,,USD,1 Hour,2025-10-01T00:00:00Z,47.38,8.54
switzerlandnorth,Switzerland North,CH,Recommended,Standard_D4s_v3,unknown,,,,0.264,0.048787,81.5,USD,1 Hour,2021-10-01T00:00:00Z,47.38,8.54
switzerlandnorth,Switzerland North,CH,Recommended,Standard_E2s_v3,unknown,,,,0.176,0.032525,81.5,USD,1 Hour,2021-10-01T00:00:00Z,47.38,8.54
switzerlandnorth,Switzerland North,CH,Recommended,Standard_F4s_v2,unknown,,,,0.2134,0.039436,81.5,USD,1 Hour,2025-10-01T00:00:00Z,47.38,8.54
switzerlandwest,Switzerland West,CH,Recommended,Standard_B4ms,unknown,,,,0.27548,,,USD,1 Hour,2025-10-01T00:00:00Z,46.2,6.14
switzerlandwest,Switzerland West,CH,Recommended,Standard_D4s_v3,unknown,,,,0.34283,0.063355,81.5,USD,1 Hour,2021-10-01T00:00:00Z,46.2,6.14
switzerlandwest,Switzerland West,CH,Recommended,Standard_E2s_v3,unknown,,,,0.22917,0.042351,81.5,USD,1 Hour,2021-10-01T00:00:00Z,46.2,6.14
switzerlandwest,Switzerland West,CH,Recommended,Standard_F4s_v2,unknown,,,,0.27751,0.051284,81.5,USD,1 Hour,2025-10-01T00:00:00Z,46.2,6.14
uaecentral,UAE Central,AE,Recommended,Standard_B4ms,unknown,,,,0.25,,,USD,1 Hour,2025-10-01T00:00:00Z,24.45,54.38
uaecentral,UAE Central,AE,Recommended,Standard_D4s_v3,unknown,,,,0.312,0.057658,81.5,USD,1 Hour,2019-02-12T00:00:00Z,24.45,54.38
uaecentral,UAE Central,AE,Recommended,Standard_E2s_v3,unknown,,,,0.196,0.036221,81.5,USD,1 Hour,2020-03-01T00:00:00Z,24.45,54.38
uaecentral,UAE Central,AE,Recommended,Standard_F4s_v2,unknown,,,,0.252,0.04657,81.5,USD,1 Hour,2025-10-01T00:00:00Z,24.45,54.38
uaenorth,UAE North,AE,Recommended,Standard_B4ms,unknown,,,,0.2,,,USD,1 Hour,2025-10-01T00:00:00Z,25.27,55.3
uaenorth,UAE North,AE,Recommended,Standard_D4s_v3,unknown,,,,0.24,0.044472,81.5,USD,1 Hour,2019-02-12T00:00:00Z,25.27,55.3
uaenorth,UAE North,AE,Recommended,Standard_E2s_v3,unknown,,,,0.151,0.02798,81.5,USD,1 Hour,2019-02-12T00:00:00Z,25.27,55.3
uaenorth,UAE North,AE,Recommended,Standard_F4s_v2,unknown,,,,0.211,0.038993,81.5,USD,1 Hour,2025-10-01T00:00:00Z,25.27,55.3
uksouth,UK South,GB,Recommended,Standard_B4ms,unknown,,,,0.189,,,USD,1 Hour,2025-10-01T00:00:00Z,51.51,-0.13
uksouth,UK South,GB,Recommended,Standard_D4s_v3,unknown,,,,0.232,0.033733,85.5,USD,1 Hour,2017-07-21T00:00:00Z,51.51,-0.13
uksouth,UK South,GB,Recommended,Standard_E2s_v3,unknown,,,,0.156,0.022682,85.5,USD,1 Hour,2017-04-01T00:00:00Z,51.51,-0.13
uksouth,UK South,GB,Recommended,Standard_F4s_v2,unknown,,,,0.202,0.033795,83.3,USD,1 Hour,2025-10-01T00:00:00Z,51.51,-0.13
ukwest,UK West,GB,Recommended,Standard_B4ms,unknown,,,,0.188,,,USD,1 Hour,2025-10-01T00:00:00Z,51.48,-3.18
ukwest,UK West,GB,Recommended,Standard_D4s_v3,unknown,,,,0.232,0.042874,81.5,USD,1 Hour,2017-07-21T00:00:00Z,51.48,-3.18
ukwest,UK West,GB,Recommended,Standard_E2s_v3,unknown,,,,0.156,0.028829,81.5,USD,1 Hour,2017-04-01T00:00:00Z,51.48,-3.18
ukwest,UK West,GB,Recommended,Standard_F4s_v2,unknown,,,,0.202,0.03733,81.5,USD,1 Hour,2025-10-01T00:00:00Z,51.48,-3.18
westcentralus,West Central US,US,Recommended,Standard_B4ms,unknown,,,,0.2,,,USD,1 Hour,2025-10-01T00:00:00Z,41.14,-104.82
westcentralus,West Central US,US,Recommended,Standard_D4s_v3,unknown,,,,0.22,0.040656,81.5,USD,1 Hour,2017-07-21T00:00:00Z,41.14,-104.82
westcentralus,West Central US,US,Recommended,Standard_E2s_v3,unknown,,,,0.146,0.026981,81.5,USD,1 Hour,2017-03-01T00:00:00Z,41.14,-104.82
westcentralus,West Central US,US,Recommended,Standard_F4s_v2,unknown,,,,0.204,0.034,83.3,USD,1 Hour,2025-10-01T00:00:00Z,41.14,-104.82
westeurope,West Europe,NL,Recommended,Standard_B4ms,unknown,,,,0.192,,,USD,1 Hour,2025-10-01T00:00:00Z,52.37,4.9
westeurope,West Europe,NL,Recommended,Standard_D4s_v3,unknown,,,,0.24,0.044352,81.5,USD,1 Hour,2017-06-17T00:00:00Z,52.37,4.9
westeurope,West Europe,NL,Recommended,Standard_E2s_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour,2017-03-01T00:00:00Z,52.37,4.9
westeurope,West Europe,NL,Recommended,Standard_F4s_v2,unknown,,,,0.194,0.035851,81.5,USD,1 Hour,2025-10-01T00:00:00Z,52.37,4.9
westindia,West India,IN,Recommended,Standard_B4ms,unknown,,,,0.238,,,USD,1 Hour,2025-10-01T00:00:00Z,19.08,72.88
westindia,West India,IN,Recommended,Standard_D4s_v3,unknown,,,,0.246,0.045461,81.5,USD,1 Hour,2017-07-21T00:00:00Z,19.08,72.88
westindia,West India,IN,Recommended,Standard_E2s_v3,unknown,,,,0.152,0.02809,81.5,USD,1 Hour,2017-04-01T00:00:00Z,19.08,72.88
westindia,West India,IN,Recommended,Standard_F4s_v2,unknown,,,,0.17,0.031416,81.5,USD,1 Hour,2025-10-01T00:00:00Z,19.08,72.88
westus,West US,US,Recommended,Standard_B4ms,unknown,,,,0.198,,,USD,1 Hour,2025-10-01T00:00:00Z,37.34,-121.89
westus,West US,US,Recommended,Standard_D4s_v3,unknown,,,,0.234,0.043243,81.5,USD,1 Hour,2017-07-21T00:00:00Z,37.34,-121.89
westus,West US,US,Recommended,Standard_E2s_v3,unknown,,,,0.148,0.02735,81.5,USD,1 Hour,2017-03-01T00:00:00Z,37.34,-121.89
westus,West US,US,Recommended,Standard_F4s_v2,unknown,,,,0.212,0.034,84.0,USD,1 Hour,2025-10-01T00:00:00Z,37.34,-121.89
westus2,West US 2,US,Recommended,Standard_B4ms,unknown,,,,0.166,,,USD,1 Hour,2025-10-01T00:00:00Z,47.23,-119.85
westus2,West US 2,US,Recommended,Standard_D4s_v3,unknown,,,,0.192,0.035482,81.5,USD,1 Hour,2017-12-15T00:00:00Z,47.23,-119.85
westus2,West US 2,US,Recommended,Standard_E2s_v3,unknown,,,,0.126,0.023285,81.5,USD,1 Hour,2019-01-01T00:00:00Z,47.23,-119.85
westus2,West US 2,US,Recommended,Standard_F4s_v2,unknown,,,,0.169,0.032887,80.5,USD,1 Hour,2025-10-01T00:00:00Z,47.23,-119.85
westus3,West US 3,US,Recommended,Standard_B4ms,unknown,,,,0.166,0.0333,79.9,USD,1 Hour,2025-10-01T00:00:00Z,33.45,-112.07
westus3,West US 3,US,Recommended,Standard_D4s_v3,unknown,,,,0.192,0.035482,81.5,USD,1 Hour,2022-08-01T00:00:00Z,33.45,-112.07
westus3,West US 3,US,Recommended,Standard_E2s_v3,unknown,,,,0.126,0.023285,81.5,USD,1 Hour,2022-08-01T00:00:00Z,33.45,-112.07
westus3,West US 3,US,Recommended,Standard_F4s_v2,unknown,,,,0.169,0.031231,81.5,USD,1 Hour,2025-10-01T00:00:00Z,33.45,-112.07
