region,displayName,isoCountryCode,regionCategory,instance,available,restriction_type,restriction_reason,sku_capacity,linux_price_hourly,spot_price_hourly,spot_discount_pct,currencyCode,unitOfMeasure,effectiveStartDate,latitude,longitude
canadaeast,Canada East,CA,Recommended,Standard_E2s_v3,unknown,,,,0.146,0.026981,81.5,USD,1 Hour,2017-04-01T00:00:00Z,46.81,-71.21
canadaeast,Canada East,CA,Recommended,Standard_F4s_v2,unknown,,,,0.185,0.034,81.6,USD,1 Hour,2025-10-01T00:00:00Z,46.81,-71.21
centralindia,Central India,IN,Recommended,Standard_B4ms,unknown,,,,0.179,,,USD,1 Hour,2025-10-01T00:00:00Z,18.52,73.86
centralindia,Central India,IN,Recommended,Standard_D4s_v3,unknown,,,,0.21,0.038808,81.5,USD,1 Hour,2018-03-12T00:00:00Z,18.52,73.86
centralindia,Central India,IN,Recommended,Standard_E2s_v3,unknown,,,,0.137,0.025318,81.5,USD,1 Hour,2018-03-12T00:00:00Z,18.52,73.86
centralindia,Central India,IN,Recommended,Standard_F4s_v2,unknown,,,,0.17,0.031416,81.5,USD,1 Hour,2025-10-01T00:00:00Z,18.52,73.86
centralus,Central US,US,Recommended,Standard_B4ms,unknown,,,,0.2,,,USD,1 Hour,2025-10-01T00:00:00Z,41.59,-93.62
centralus,Central US,US,Recommended,Standard_D4s_v3,unknown,,,,0.22,0.036762,83.3,USD,1 Hour,2017-07-21T00:00:00Z,41.59,-93.62
centralus,Central US,US,Recommended,Standard_E2s_v3,unknown,,,,0.146,0.024397,83.3,USD,1 Hour,2017-03-01T00:00:00Z,41.59,-93.62
centralus,Central US,US,Recommended,Standard_F4s_v2,unknown,,,,0.204,0.034,83.3,USD,1 Hour,2025-10-01T00:00:00Z,41.59,-93.62
chilecentral,Chile Central,CL,Recommended,Standard_B4ms,unknown,,,,0.233,,,USD,1 Hour,2025-10-01T00:00:00Z,-33.45,-70.67
chilecentral,Chile Central,CL,Recommended,Standard_D4s_v3,unknown,,,,,,,,,,-33.45,-70.67
chilecentral,Chile Central,CL,Recommended,Standard_E2s_v3,unknown,,,,,,,,,,-33.45,-70.67
chilecentral,Chile Central,CL,Recommended,Standard_F4s_v2,unknown,,,,0.237,0.043798,81.5,USD,1 Hour,2025-10-01T00:00:00Z,-33.45,-70.67
denmarkeast,Denmark East,DK,Recommended,Standard_B4ms,unknown,,,,,,,,,,55.68,12.57
denmarkeast,Denmark East,DK,Recommended,Standard_D4s_v3,unknown,,,,,,,,,,55.68,12.57
denmarkeast,Denmark East,DK,Recommended,Standard_E2s_v3,unknown,,,,,,,,,,55.68,12.57
denmarkeast,Denmark East,DK,Recommended,Standard_F4s_v2,unknown,,,,,,,,,,55.68,12.57
eastasia,East Asia,HK,Recommended,Standard_B4ms,unknown,,,,0.234,,,USD,1 Hour,2025-10-01T00:00:00Z,22.32,114.17
eastasia,East Asia,HK,Recommended,Standard_D4s_v3,unknown,,,,0.264,0.048787,81.5,USD,1 Hour,2019-08-01T00:00:00Z,22.32,114.17
eastasia,East Asia,HK,Recommended,Standard_E2s_v3,unknown,,,,0.167,0.030862,81.5,USD,1 Hour,2019-08-01T00:00:00Z,22.32,114.17
eastasia,East Asia,HK,Recommended,Standard_F4s_v2,unknown,,,,0.216,0.0392,81.9,USD,1 Hour,2025-10-01T00:00:00Z,22.32,114.17
eastus,East US,US,Recommended,Standard_B4ms,unknown,,,,0.166,,,USD,1 Hour,2025-10-01T00:00:00Z,36.67,-78.39
eastus,East US,US,Recommended,Standard_D4s_v3,unknown,,,,0.192,0.037632,80.4,USD,1 Hour,2017-12-15T00:00:00Z,36.67,-78.39
eastus,East US,US,Recommended,Standard_E2s_v3,unknown,,,,0.126,0.024696,80.4,USD,1 Hour,2019-01-01T00:00:00Z,36.67,-78.39
eastus,East US,US,Recommended,Standard_F4s_v2,unknown,,,,0.169,0.0338,80.0,USD,1 Hour,2025-10-01T00:00:00Z,36.67,-78.39
