Region,AccessFrequency,Performance,Redundancy,PricePerGB
austriaeast,Cool Tier,Premium SSD,ZRS,na
austriaeast,Cool Tier,Premium SSD,GZRS,na
austriaeast,Transaction Optimized,Standard HDD,LRS,0.0577
austriaeast,Transaction Optimized,Standard HDD,GRS,na
austriaeast,Transaction Optimized,Standard HDD,ZRS,0.075
austriaeast,Transaction Optimized,Standard HDD,GZRS,na
austriaeast,Transaction Optimized,Premium SSD,LRS,na
austriaeast,Transaction Optimized,Premium SSD,GRS,na
austriaeast,Transaction Optimized,Premium SSD,ZRS,na
austriaeast,Transaction Optimized,Premium SSD,GZRS,na
belgiumcentral,Hot Tier,Standard HDD,LRS,0.0271
belgiumcentral,Hot Tier,Standard HDD,GRS,na
belgiumcentral,Hot Tier,Standard HDD,ZRS,0.0331
belgiumcentral,Hot Tier,Standard HDD,GZRS,na
belgiumcentral,Hot Tier,Premium SSD,LRS,0.192
belgiumcentral,Hot Tier,Premium SSD,GRS,na
belgiumcentral,Hot Tier,Premium SSD,ZRS,0.24
belgiumcentral,Hot Tier,Premium SSD,GZRS,na
belgiumcentral,Cool Tier,Standard HDD,LRS,0.015
belgiumcentral,Cool Tier,Standard HDD,GRS,na
belgiumcentral,Cool Tier,Standard HDD,ZRS,0.01875
belgiumcentral,Cool Tier,Standard HDD,GZRS,na
belgiumcentral,Cool Tier,Premium SSD,LRS,na
belgiumcentral,Cool Tier,Premium SSD,GRS,na
belgiumcentral,Cool Tier,Premium SSD,ZRS,na
belgiumcentral,Cool Tier,Premium SSD,GZRS,na
belgiumcentral,Transaction Optimized,Standard HDD,LRS,0.0577
belgiumcentral,Transaction Optimized,Standard HDD,GRS,na
belgiumcentral,Transaction Optimized,Standard HDD,ZRS,0.075
belgiumcentral,Transaction Optimized,Standard HDD,GZRS,na
belgiumcentral,Transaction Optimized,Premium SSD,LRS,na
belgiumcentral,Transaction Optimized,Premium SSD,GRS,na
belgiumcentral,Transaction Optimized,Premium SSD,ZRS,na
belgiumcentral,Transaction Optimized,Premium SSD,GZRS,na
brazilsouth,Hot Tier,Standard HDD,LRS,0.0489
brazilsouth,Hot Tier,Standard HDD,GRS,0.0978
brazilsouth,Hot Tier,Standard HDD,ZRS,0.0611
brazilsouth,Hot Tier,Standard HDD,GZRS,0.088725
brazilsouth,Hot Tier,Premium SSD,LRS,0.32
brazilsouth,Hot Tier,Premium SSD,GRS,na
brazilsouth,Hot Tier,Premium SSD,ZRS,0.4
brazilsouth,Hot Tier,Premium SSD,GZRS,na
brazilsouth,Cool Tier,Standard HDD,LRS,0.0312
brazilsouth,Cool Tier,Standard HDD,GRS,0.0624
brazilsouth,Cool Tier,Standard HDD,ZRS,0.039
brazilsouth,Cool Tier,Standard HDD,GZRS,0.054
brazilsouth,Cool Tier,Premium SSD,LRS,na
brazilsouth,Cool Tier,Premium SSD,GRS,na
brazilsouth,Cool Tier,Premium SSD,ZRS,na
brazilsouth,Cool Tier,Premium SSD,GZRS,na
brazilsouth,Transaction Optimized,Standard HDD,LRS,0.08175
brazilsouth,Transaction Optimized,Standard HDD,GRS,0.136
brazilsouth,Transaction Optimized,Standard HDD,ZRS,0.102187
brazilsouth,Transaction Optimized,Standard HDD,GZRS,0.162188
brazilsouth,Transaction Optimized,Premium SSD,LRS,na
brazilsouth,Transaction Optimized,Premium SSD,GRS,na
brazilsouth,Transaction Optimized,Premium SSD,ZRS,na
brazilsouth,Transaction Optimized,Premium SSD,GZRS,na
brazilsoutheast,Hot Tier,Standard HDD,LRS,0.063544
brazilsoutheast,Hot Tier,Standard HDD,GRS,0.1124
brazilsoutheast,Hot Tier,Standard HDD,ZRS,na
brazilsoutheast,Hot Tier,Standard HDD,GZRS,na
brazilsoutheast,Hot Tier,Premium SSD,LRS,0.416
brazilsoutheast,Hot Tier,Premium SSD,GRS,na
brazilsoutheast,Hot Tier,Premium SSD,ZRS,na
brazilsoutheast,Hot Tier,Premium SSD,GZRS,na
brazilsoutheast,Cool Tier,Standard HDD,LRS,0.04056
brazilsoutheast,Cool Tier,Standard HDD,GRS,0.07176
brazilsoutheast,Cool Tier,Standard HDD,ZRS,na
brazilsoutheast,Cool Tier,Standard HDD,GZRS,na
brazilsoutheast,Cool Tier,Premium SSD,LRS,na
brazilsoutheast,Cool Tier,Premium SSD,GRS,na
brazilsoutheast,Cool Tier,Premium SSD,ZRS,na
brazilsoutheast,Cool Tier,Premium SSD,GZRS,na
brazilsoutheast,Transaction Optimized,Standard HDD,LRS,0.10634
brazilsoutheast,Transaction Optimized,Standard HDD,GRS,0.18814
brazilsoutheast,Transaction Optimized,Standard HDD,ZRS,na
brazilsoutheast,Transaction Optimized,Standard HDD,GZRS,na
brazilsoutheast,Transaction Optimized,Premium SSD,LRS,na
brazilsoutheast,Transaction Optimized,Premium SSD,GRS,na
brazilsoutheast,Transaction Optimized,Premium SSD,ZRS,na
brazilsoutheast,Transaction Optimized,Premium SSD,GZRS,na
canadacentral,Hot Tier,Standard HDD,LRS,0.03
